,UserName,Review,Score,Date,Bank
40,远帆孤影,"Eager to serve, won't let you logout :face_with_tears_of_joy::grinning_face_with_sweat::rolling_on_the_floor_laughing::loudly_crying_face:",1,2023-10-03 01:31:36,Maribank
41,SC Huang,Daily interest. Nice to see effect of compounding...,5,2023-09-28 22:11:03,Maribank
42,Faqeehah Husna Khairul Faizi,I think the app is good but i'm Malaysian,2,2023-09-22 05:12:59,Maribank
43,Han Wee Ng,Can maribank add a sms otp as additional protection during login ?,2,2023-09-21 07:10:23,Maribank
44,Darren Seah choon Hong,"I don't no why I m doing this? I just know my bank left 5.9 cent, please don't show me again all your thing.",5,2023-09-14 09:34:20,Maribank
45,Marcus Ong,"New bank... but hope to see more convenient features for shopee users in the future e.g. zero-fee auto top-up to shopee, instant transfers and maybe direct link of shopee wallet to maribank acc... Or else there's not much incentive to use this bank cos there are def more competitive rates out there!",4,2023-09-11 06:05:44,Maribank
46,Sky Koh,"It very easy to sign up but no physical card, no dark mode, no one answer call, no one support, no benefit etc. It just too simple app, like this so call digital bank? Trust Bank better lor, go learn from them.",1,2023-09-07 03:28:36,Maribank
47,A Y,It's only 1 day of promotion and Business bank application is not available. I hope it gets released again soon.,3,2023-09-02 08:09:52,Maribank
48,Nina Suryani,Why i can't use. Just bcz i Indonesian,1,2023-08-26 15:13:21,Maribank
49,justin lua,"It is good and easy to use and very straightforward feature. Overall, it is amazing",5,2023-08-26 05:56:29,Maribank
50,Tien Seng Chua,"easy sign up. deposit and withdrawal transaction of funds are rather smooth. facial recognition before every withdrawal transaction may be a good security measure but wil be better if users have more choices (eg. to choose among OTP, fingerprint or facial recognition)",5,2023-08-19 02:31:41,Maribank
51,Chang Tang,"Please add ""Add Payee"" function and dark mode",3,2023-08-15 08:29:09,Maribank
52,El Sptr,Not safe! I put an app over it not that I wanted it only after. MariBank you need to put your detector systems because the app can see what I am typing. Not safe. Pls improve immediately! . update: tried screenshot.,1,2023-08-13 03:37:45,Maribank
53,RA DA,"VERY DISAPPOINTED. What is the use of asking us to open a Maribank account (via Shopee's recommendation) when SHOPEE PAY CAN ONLY BE TOPPED UP FROM & LINKED TO ONLY THE MAJOR BANKS?? Funds can only be transferred to Maribank from Shopee Pay but not vice versa. I also linked Maribank account to Shopee but it does NOT even appear at all at Top Up or mode of payment for Shopee purchase. Morever, face recognition for transactions always FAILS four out of five times. Frustrating UX.",1,2023-08-07 17:07:58,Maribank
54,D T,"5:star: instant reply - Thank U! Live Chat UNABLE to help. I finally managed to transfer my money out. Please REPLACE FACE VERIFICATION with OTP. Original Review: FACE VERIFICATION FAILED 6X - UNABLE TO WITHDRAW. Maribank is the ONLY bank using face verification with no other options. This money was originally from ShopeePay that was stuck for months due to a technical glitch & I was not able to use ShopeePay. That said, all else works easily & security is better than other digital banks. Thanks!",3,2023-07-27 03:45:26,Maribank
55,Ken Cheng,Any Chance that u can add Payee function inside the app itself,3,2023-07-21 06:59:17,Maribank
56,YK 994,where is my Mari bank invitation I Been waiting for a few months my friend got the invitation when I register early then my friend,1,2023-06-13 15:05:23,Maribank
57,Benson,"After much to and fro bettwen the MariBank teams and me, we are able to resolve the problem of using the app in 2 phones. Kudos to the MariBank contact centre and team that unblock my account. The human touch contact will always be more pleasant than all those chatbots. Thank you teams for all the help",5,2023-06-12 13:39:31,Maribank
58,Dominic Tey,"Great experience, good UI. Simple enough to figure out the stuff i need to do. Transactions are instantaneous, and app has all features i want. Good job to devs!:rolling_on_the_floor_laughing::red_heart:",5,2023-06-05 12:30:40,Maribank
59,Cheng Sze Hui,"The interest is okay, although it's not the highest",5,2023-06-05 10:32:02,Maribank
60,Grace Ho,Will be closing this bank account soon after transferring out all the money I have put in. After experiencing missing money issue during their shopee maintenence. I have decided not to put my money here since both is of the same company.,1,2023-05-09 03:04:32,Maribank
61,Jun Wei,I don't like the name,1,2023-04-02 03:55:19,Maribank
62,Harsh Mahajan,Clean and simple! Just how a bank app should be!,5,2023-03-20 23:43:00,Maribank
63,Mazlan,Great user experience. 3.5% p.a would be even better. :grinning_face:,5,2023-03-20 16:09:11,Maribank
64,C,"App permissions that are unnecessary for this banking app: read external storage, record audio, read calendar & wrote settings. Overall fast and snappy. Security would be enhanced if the allow to secure bank app and transactions with a FIDO hardware key like yubikey. It is a fintech bank, it would be nice to be different !",4,2023-03-20 02:10:09,Maribank
65,Adrian Tan,App is very intuitive! Love the features,5,2023-03-08 06:59:34,Maribank
66,Denise,Excited with this digital bank in Singapore! Likes how it is easy to use and fuss free. And it's a nice thing to see my interest credited daily!,5,2023-03-08 06:28:11,Maribank
67,Zihao Zhu,"Super simple to use, gets things done and that's it, gives daily interest with no strings attached or funny commitment requirements, my kind of bank",5,2023-03-08 05:59:21,Maribank
68,Sam Chua,First!,5,2023-03-08 05:41:22,Maribank
